Order;;AccidentType;AccidentType_de;AccidentType_en;types;AccidentSeverityCategory;AccidentSeverityCategory_de;AccidentSeverityCategory_en;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;AccidentInvolvingMotorcycle;RoadType;RoadType_de;RoadType_en;AccidentLocation_CHLV95_E;AccidentLocation_CHLV95_N;CantonCode;MunicipalityCode;AccidentYear;AccidentMonth;AccidentMonth_de;AccidentWeekDay;AccidentWeekDay_de;AccidentHour;AccidentHour_text;;;
3;BD0108A4C0AA5797E053DDB9D80A6DE2;at1;Überholunfall oder Fahrstreifenwechsel;Accident when overtaking or changing lanes;overtaking/changing lanes;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2679150;1247720;ZH;261;2021;1;Januar;aw402;Dienstag;12;12h-13h;;;
1;B9B4FA6053F24D18E053DDB9D80AA25F;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2679922;1250687;ZH;261;2021;1;Januar;aw403;Mittwoch;18;18h-19h;;;
1;B89AB3CD7B723813E053DDB9D80AC872;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as2;Unfall mit Schwerverletzten;Accident with severe injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2683960;1245587;ZH;261;2021;1;Januar;aw402;Dienstag;17;17h-18h;;;
1;B93C4E6792D1F31FE053DDB9D80A6C60;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as2;Unfall mit Schwerverletzten;Accident with severe injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2683734;1247317;ZH;261;2021;1;Januar;aw402;Dienstag;17;17h-18h;;;
1;B928CA6BBD55222EE053DDB9D80A74EC;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2682528;1250396;ZH;261;2021;1;Januar;aw402;Dienstag;8;08h-09h;;;0
3;BB8B6CB4E6216DD5E053DDB9D80A4F2E;at1;Überholunfall oder Fahrstreifenwechsel;Accident when overtaking or changing lanes;overtaking/changing lanes;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2682340;1247555;ZH;261;2021;1;Januar;aw403;Mittwoch;16;16h-17h;;;
4;BF75BC591C896C45E053DDB9D80A914D;at5;Überqueren der Fahrbahn;Accident when crossing the lane(s);crossing lanes;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2682958;1251552;ZH;261;2021;1;Januar;aw406;Samstag;1;01h-02h;;;
1;BA43427ECA112AE2E053DDB9D80A99A2;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2682662;1249614;ZH;261;2021;1;Januar;aw407;Sonntag;21;21h-22h;;;
2;BBC28B5AABFA472CE053DDB9D80AF7DD;at3;Abbiegeunfall;Accident when turning left or right;Turning;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt432;Hauptstrasse;Principal road;2682819;1245670;ZH;261;2021;1;Januar;aw405;Freitag;20;20h-21h;;;
4;BA68A81CE2B4F5D2E053DDB9D80AE929;at5;Überqueren der Fahrbahn;Accident when crossing the lane(s);crossing lanes;as4;Unfall mit Sachschaden;Accident with property damage;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2682135;1248055;ZH;261;2021;2;Februar;aw402;Dienstag;11;11h-12h;;;
2;BACD7D418D929B41E053DDB9D80A5283;at3;Abbiegeunfall;Accident when turning left or right;Turning;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2683214;1249195;ZH;261;2021;2;Februar;aw404;Donnerstag;11;11h-12h;;;
1;BA43427EB44D2AE2E053DDB9D80A99A2;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2681851;1247365;ZH;261;2021;2;Februar;aw405;Freitag;17;17h-18h;;;
1;C0765FD613E7CE20E053DDB9D80AB19D;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as2;Unfall mit Schwerverletzten;Accident with severe injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2680582;1253454;ZH;261;2021;2;Februar;aw405;Freitag;22;22h-23h;;;
2;BEBB4B80FEF48E50E053DDB9D80A14FA;at3;Abbiegeunfall;Accident when turning left or right;Turning;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2680308;1250812;ZH;261;2021;2;Februar;aw402;Dienstag;15;15h-16h;;;
1;BB25E11EC11FDD4FE053DDB9D80AD871;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2680526;1247044;ZH;261;2021;2;Februar;aw403;Mittwoch;18;18h-19h;;;
